type	edits	hour
desktop	0.0457672685344068	11
desktop	0.030008796812369	8
desktop	0.027442137327353	3
desktop	0.0485161659523337	13
desktop	0.0416779855725464	0
desktop	0.0523048414828036	15
desktop	0.0530891458576211	18
desktop	0.0473835657150838	12
desktop	0.0516636024011125	20
desktop	0.0250790052533916	4
desktop	0.0501077673383639	14
desktop	0.0525100720521098	22
desktop	0.0510709033295892	21
desktop	0.0298461451993504	2
desktop	0.0351548894692874	1
desktop	0.0527962026383624	17
desktop	0.0478280900187262	23
desktop	0.0507856243224624	19
desktop	0.0539219902426064	16
desktop	0.0251028494689127	6
desktop	0.0365787297675444	9
desktop	0.0424290783614596	10
desktop	0.0232540711869054	5
desktop	0.0256810716952982	7
mobile	0.0255890172028188	5
mobile	0.0307540826804327	2
mobile	0.0422516984794565	0
mobile	0.0483113668012322	23
mobile	0.0506829083032085	22
mobile	0.0401558521936056	10
mobile	0.0512202326530038	21
mobile	0.0285288284359923	3
mobile	0.0273810361076337	6
mobile	0.0499317795000914	18
mobile	0.035789740199457	1
mobile	0.0276707974062144	4
mobile	0.0514452899722898	19
mobile	0.0515184336010578	20
mobile	0.0508432616431998	17
mobile	0.0539799980307485	15
mobile	0.0524439818266215	16
mobile	0.0514424767557987	14
mobile	0.0289592505591268	8
mobile	0.0471157497925253	13
mobile	0.0360766882815467	9
mobile	0.0279296133233933	7
mobile	0.0444403809095129	12
mobile	0.0455375353410322	11
